frame,candidate_index,kind,u_px,v_px,l_value,a_delta,b_delta,halo_kind,halo_distance_px,halo_u_px,halo_v_px,halo_area,halo_mean_a_delta
80,0,unknown,692.0,333.0,250,2,2,none,,,,,
80,1,unknown,635.0,468.0,204,3,2,none,,,,,
80,2,unknown,727.0,392.0,200,3,2,none,,,,,
80,3,unknown,672.0,437.0,198,2,2,none,,,,,
80,4,unknown,661.0,446.0,198,3,3,none,,,,,
80,5,unknown,621.0,457.0,198,2,2,none,,,,,
80,6,unknown,682.0,429.0,196,4,1,none,,,,,
80,7,unknown,717.0,378.0,188,4,3,none,,,,,
80,8,unknown,583.0,407.0,187,2,3,none,,,,,
80,9,unknown,596.0,391.0,186,1,2,none,,,,,
80,10,unknown,690.0,340.0,184,4,3,none,,,,,
80,11,unknown,681.0,327.0,183,3,2,none,,,,,
80,12,unknown,647.0,351.0,181,2,0,none,,,,,
80,13,unknown,655.0,366.0,181,4,7,none,,,,,
80,14,unknown,438.0,167.0,166,-1,5,none,,,,,
80,15,unknown,675.0,317.0,157,-1,3,none,,,,,
80,16,unknown,799.0,496.0,154,0,2,none,,,,,
80,17,unknown,566.0,399.0,153,0,2,none,,,,,
80,18,unknown,412.0,330.0,151,-1,4,none,,,,,
80,19,unknown,398.0,227.0,150,-2,6,none,,,,,
80,20,unknown,659.0,328.0,147,-1,2,none,,,,,
80,21,unknown,798.0,331.0,147,1,2,none,,,,,
80,22,unknown,623.0,355.0,147,0,1,none,,,,,
80,23,unknown,614.0,362.0,147,0,1,none,,,,,
80,24,unknown,592.0,379.0,147,-1,2,none,,,,,
80,25,unknown,798.0,319.0,146,0,2,none,,,,,
80,26,unknown,630.0,350.0,146,2,1,none,,,,,
80,27,unknown,574.0,393.0,146,0,1,none,,,,,
80,28,unknown,643.0,340.0,145,0,1,none,,,,,
80,29,unknown,571.0,412.0,145,0,2,none,,,,,
80,30,unknown,799.0,429.0,144,0,2,none,,,,,
