frame,candidate_index,kind,refine_status,u_px,v_px,halo_u_px,halo_v_px,halo_area,halo_mean_a_delta,core_u_px,core_v_px,core_area_px,core_diameter_px,core_mean_l,core_max_l,core_a_delta,core_b_delta,core_offset_px,core_score
89,0,red,fallback_halo_center,691.4844444444444,335.0888888888889,691.4844444444444,335.0888888888889,11,20.454545454545453,,,,,,,,,,
91,0,green,fallback_halo_center,686.9,330.51666666666665,686.9,330.51666666666665,6,-20.0,,,,,,,,,,
91,1,red,fallback_halo_center,690.776,334.944,690.776,334.944,6,20.833333333333332,,,,,,,,,,
92,0,red,fallback_halo_center,693.1847389558233,335.718875502008,693.1847389558233,335.718875502008,13,19.153846153846153,,,,,,,,,,
101,0,green,fallback_halo_center,685.726618705036,332.57553956834533,685.726618705036,332.57553956834533,7,-19.857142857142858,,,,,,,,,,
101,1,red,fallback_halo_center,691.7413793103449,337.3448275862069,691.7413793103449,337.3448275862069,14,20.714285714285715,,,,,,,,,,
102,0,green,fallback_halo_center,685.7552083333334,332.765625,685.7552083333334,332.765625,10,-19.2,,,,,,,,,,
102,1,red,fallback_halo_center,691.1673469387755,337.9142857142857,691.1673469387755,337.9142857142857,12,20.416666666666668,,,,,,,,,,
105,0,green,fallback_halo_center,685.4605809128631,333.1244813278008,685.4605809128631,333.1244813278008,13,-18.53846153846154,,,,,,,,,,
113,0,green,fallback_halo_center,687.1007194244604,333.3956834532374,687.1007194244604,333.3956834532374,13,-21.384615384615383,,,,,,,,,,
113,1,red,fallback_halo_center,691.4960835509138,341.49086161879893,691.4960835509138,341.49086161879893,16,23.9375,,,,,,,,,,
116,0,green,fallback_halo_center,686.2272727272727,333.57954545454544,686.2272727272727,333.57954545454544,12,-22.0,,,,,,,,,,
116,1,red,fallback_halo_center,690.984375,342.0677083333333,690.984375,342.0677083333333,9,21.333333333333332,,,,,,,,,,
130,0,green,fallback_halo_center,689.5582822085889,335.6441717791411,689.5582822085889,335.6441717791411,9,-18.11111111111111,,,,,,,,,,
130,1,red,fallback_halo_center,692.5,342.07894736842104,692.5,342.07894736842104,6,19.0,,,,,,,,,,
196,0,red,fallback_halo_center,694.487012987013,355.5844155844156,694.487012987013,355.5844155844156,8,19.25,,,,,,,,,,
261,0,green,fallback_halo_center,688.5197368421053,365.4868421052632,688.5197368421053,365.4868421052632,8,-19.0,,,,,,,,,,
261,1,red,fallback_halo_center,692.6117647058824,367.8529411764706,692.6117647058824,367.8529411764706,8,21.25,,,,,,,,,,
268,0,green,fallback_halo_center,692.0108932461874,363.79956427015253,692.0108932461874,363.79956427015253,20,-22.95,,,,,,,,,,
268,1,red,fallback_halo_center,691.36,370.02,691.36,370.02,11,22.727272727272727,,,,,,,,,,
270,0,green,fallback_halo_center,692.3208255159475,363.6472795497186,692.3208255159475,363.6472795497186,24,-22.208333333333332,,,,,,,,,,
270,1,red,fallback_halo_center,691.2105263157895,370.0921052631579,691.2105263157895,370.0921052631579,10,22.8,,,,,,,,,,
288,0,red,core_found,691.5832732516222,374.49963950973324,695.2027777777778,371.31666666666666,17,21.176470588235293,691.5832732516222,374.49963950973324,8,3.1915382432114616,173.375,235,-13,4,4.819971901843388,168.5550280981566
373,0,green,fallback_halo_center,689.5085714285714,374.50857142857143,689.5085714285714,374.50857142857143,8,-21.875,,,,,,,,,,
373,1,red,fallback_halo_center,699.6349480968859,383.0432525951557,699.6349480968859,383.0432525951557,25,23.12,,,,,,,,,,
416,0,green,core_found,693.2689187298923,386.393481605819,709.588996763754,389.3398058252427,15,-20.6,693.2689187298923,386.393481605819,82,10.217907939900583,174.3658536585366,197,3,4,16.583901031943544,157.78195262659304
416,1,red,core_found,706.6272855133615,388.19198312236284,704.5573770491803,388.0245901639344,7,17.428571428571427,706.6272855133615,388.19198312236284,9,3.385137501286538,158.0,229,4,3,2.076665946323612,155.9233340536764
446,0,green,fallback_halo_center,700.2062937062936,394.02097902097904,700.2062937062936,394.02097902097904,14,-20.428571428571427,,,,,,,,,,
446,1,red,core_found,691.4258948436707,385.68484328037783,705.7614285714286,390.4457142857143,27,25.925925925925927,691.4258948436707,385.68484328037783,147,13.680870333281758,174.27891156462584,200,3,5,15.10541028867269,159.17350127595316
448,0,green,fallback_halo_center,699.7943925233645,394.1214953271028,699.7943925233645,394.1214953271028,10,-21.4,,,,,,,,,,
448,1,red,core_found,691.1041258905503,385.6541924371722,705.4693251533743,390.3803680981595,25,26.08,691.1041258905503,385.6541924371722,146,13.63425735166143,174.97260273972603,199,3,5,15.122687798111354,159.84991494161468
476,0,green,fallback_halo_center,705.6818181818181,386.57575757575756,705.6818181818181,386.57575757575756,7,-18.857142857142858,,,,,,,,,,
