frame,candidate_index,u_px,v_px,blob_size,response,brightness,distance_to_red,distance_to_green,label
80,0,690.6264258555133,334.40304182509504,1.7207592725753784,0.0,255.0,,,no_gt_hit
80,1,683.0032918800292,330.47037307973665,6.233957290649414,0.0,185.0,,,no_gt_hit
80,2,701.6689230769231,361.7747692307692,1.7207592725753784,0.0,183.0,,,no_gt_hit
80,3,660.5,411.25,3.1135902404785156,0.0,181.0,,,no_gt_hit
80,4,678.5,404.5,3.1622776985168457,0.0,180.0,,,no_gt_hit
91,0,686.4830970556161,329.51908396946567,1.4142135381698608,0.0,246.0,,0.3,green_gt_hit
91,1,687.6703431372549,344.00061274509807,1.813529372215271,0.0,184.0,,14.4,green_gt_hit
91,2,641.0013850415512,390.7451523545706,1.4142135381698608,0.0,181.0,,76.0,no_gt_hit
91,3,645.1666666666666,417.1666666666667,2.8491294384002686,0.0,180.0,,96.7,no_gt_hit
91,4,667.0,411.5,5.830951690673828,0.0,180.0,,84.1,no_gt_hit
101,0,692.6245662734212,360.7501734906315,2.403700828552246,0.0,181.0,,29.5,no_gt_hit
101,1,660.3684210526316,413.6578947368421,9.518960952758789,0.0,180.0,,85.4,no_gt_hit
101,2,678.5,404.5,1.4142135381698608,0.0,180.0,,72.8,no_gt_hit
101,3,688.5,402.5,1.4142135381698608,0.0,180.0,,70.5,no_gt_hit
101,4,660.75,358.0,1.7207592725753784,0.0,180.0,,36.0,no_gt_hit
113,0,686.5022675736961,332.562358276644,1.4142135381698608,0.0,249.0,,0.7,green_gt_hit
113,1,622.8035855523333,412.9514895860796,3.1622776985168457,0.0,182.0,,102.7,no_gt_hit
113,2,636.3333333333334,390.8333333333333,1.7916128635406494,0.0,180.0,,77.0,no_gt_hit
116,0,622.8035855523333,412.9514895860796,3.1622776985168457,0.0,182.0,,102.4,no_gt_hit
116,1,635.8,392.4,1.4142135381698608,0.0,180.0,,78.2,no_gt_hit
130,0,688.4567757009346,335.4731308411215,1.4142135381698608,0.0,245.0,,3.5,green_gt_hit
130,1,708.2097809833758,385.4472982085789,25.548173904418945,0.0,196.0,,54.3,no_gt_hit
130,2,688.9138286616094,384.48386865371856,21.395465850830078,0.0,182.0,,50.8,no_gt_hit
138,0,693.9248291571754,343.50189825360667,1.7916128635406494,0.0,249.0,,4.7,green_gt_hit
138,1,988.4986187845304,518.4995395948434,3.1622776985168457,0.0,182.0,,341.1,no_gt_hit
196,0,690.0107784431137,357.7281437125749,1.7207592725753784,0.0,229.0,,0.4,green_gt_hit
196,1,662.4654088050314,360.06733259341473,3.945305109024048,0.0,181.0,,27.3,no_gt_hit
196,2,652.7554325819949,358.00364421649346,6.100376605987549,0.0,181.0,,36.9,no_gt_hit
196,3,984.0,488.875,1.4142135381698608,0.0,180.0,,322.2,no_gt_hit
196,4,665.5,402.5,2.288245677947998,0.0,180.0,,50.7,no_gt_hit
196,5,677.0,360.8181818181818,3.0762665271759033,0.0,180.0,,13.0,green_gt_hit
