frame,candidate_index,u_px,v_px,core_area_px,brightness,red_score,green_score,label,score_gap
91,0,645.0,417.0,2.0,180.0,0.6289412379264832,0.0,red,0.6289412379264832
91,1,667.5,411.5,19.0,180.0,0.5335788130760193,0.0,red,0.5335788130760193
91,2,706.3638161146812,368.9940682155215,6.0,183.90908813476562,0.20801006257534027,0.0,red,0.20801006257534027
101,0,682.0,413.0,6.0,180.0,1.0,0.0,red,1.0
101,1,673.7878894767783,389.7869488536155,34.5,180.9574432373047,0.9843859672546387,0.0,red,0.9843859672546387
101,2,659.7666666666667,413.56666666666666,20.5,180.0,0.9759629368782043,0.0,red,0.9759629368782043
102,0,682.0,413.0,6.0,180.0,1.0,0.0,red,1.0
102,1,657.5,413.5,7.0,180.0,0.7909829020500183,0.0,red,0.7909829020500183
102,2,704.0055,371.728,6.0,181.81817626953125,0.308483749628067,0.0,red,0.308483749628067
113,0,702.002263174911,411.7730358874879,10.0,181.94117736816406,0.5747718214988708,0.0,red,0.5747718214988708
113,1,717.2635434870278,393.3600618362683,64.5,183.67901611328125,0.45582330226898193,0.0,red,0.45582330226898193
116,0,704.0021953896817,378.00109769484084,2.0,182.1999969482422,0.5005970597267151,0.0,red,0.5005970597267151
130,0,689.6050223668158,384.4541480276535,291.5,181.03067016601562,1.0,0.0,red,1.0
130,1,702.9977924944812,374.4772626931567,16.5,181.1999969482422,0.6567136645317078,2.397626121819485e-05,red,0.6566896882704896
130,2,715.0718983226188,390.6059262543412,56.5,182.8783721923828,0.5338746905326843,0.0,red,0.5338746905326843
134,0,701.2219289827256,373.43018234165066,15.5,181.21739196777344,0.5259606838226318,0.0,red,0.5259606838226318
134,1,714.3733623016657,389.3825136612022,60.5,183.0,0.41352811455726624,0.0,red,0.41352811455726624
134,2,698.0068306010929,414.13285519125685,10.0,183.0,0.3068540096282959,0.0,red,0.3068540096282959
196,0,662.0,360.0011086474501,2.0,180.39999389648438,1.0,0.0,red,1.0
196,1,652.7100626183195,357.9506334643949,28.0,180.7105255126953,1.0,0.0,red,1.0
196,2,678.499306518724,367.49861303744797,4.0,180.25,0.7914921641349792,0.0,red,0.7914921641349792
196,3,638.0011074197121,360.00110741971207,2.0,180.60000610351562,0.6800193190574646,0.0,red,0.6800193190574646
196,4,706.857765451664,393.8198626518753,30.0,184.68292236328125,0.43816983699798584,0.0,red,0.43816983699798584
196,5,704.0068050357264,386.4896223205172,10.0,183.6875,0.15998496115207672,0.0,uncertain,0.15998496115207672
261,0,617.9994478188846,384.4986195472115,4.0,181.10000610351562,1.0,0.0,red,1.0
261,1,678.5884067357513,405.0035621761658,10.0,181.64706420898438,0.9079031348228455,0.0,red,0.9079031348228455
261,2,695.9044845661036,392.21654047757715,34.5,186.63043212890625,0.6887478828430176,0.0,red,0.6887478828430176
261,3,676.0097087378641,411.00970873786406,2.0,185.39999389648438,0.5407866835594177,0.0,red,0.5407866835594177
373,0,689.3347230073488,385.8831967213115,59.5,186.2105255126953,0.518374502658844,0.0012052780948579311,red,0.5171692245639861
373,1,657.9837829409013,375.0036644316233,121.0,180.64788818359375,0.23887383937835693,0.0,red,0.23887383937835693
373,2,677.8962747263781,370.1382166884225,84.5,182.73394775390625,0.0632975623011589,0.006661912892013788,uncertain,0.05663564940914512
