time_s,path_error_mm,heading_error_deg,v_left_target,v_right_target,v_left_actual,v_right_actual,omega_cmd,gyro_z,yaw_error,wheel_pi_turn,turn_pwm,left_pwm,right_pwm,x_m,y_m
0.0,0.0003194947028702021,0.04576424999423881,0.4214,0.37860000000000005,0.40013515789473686,0.3998648421052632,-0.2,-0.001263157894736842,-0.19873684210526316,-1.717349999999998,-5.6,42,30,0.0003999999999996809,-5.052631578946025e-10
0.01,0.020978379991045345,0.4995830558653129,0.4214,0.37860000000000005,0.4013327063152917,0.39851740617572295,-0.2,-0.013155608128826017,-0.186844391871174,-1.6046073190574353,-5.542161291523628,41,30,0.0043999250525475425,-1.4075533667116966e-07
0.02,0.07298728480159405,0.9463609947222913,0.4428,0.3572,0.4020476740394306,0.39637614438569685,-0.4,-0.02650247501744722,-0.3734975249825528,-3.1952535283727235,-11.068388822027863,47,25,0.008395191280359812,-8.4636429575242e-07
0.03,0.1554494489653088,1.3764492921676765,0.4428,0.3572,0.4053603710420348,0.39182773205661714,-0.4,-0.06323663077297959,-0.33676336922702044,-3.067362474759917,-10.860148422309823,47,25,0.012383805045441065,-2.8484433223931875e-06
0.04,0.2669120035674667,1.7862475714104393,0.46420000000000006,0.3358,0.40866337361197896,0.38765546933030776,-0.6000000000000001,-0.09816777701715498,-0.5018322229828451,-4.462291419082641,-16.2210865439316,52,20,0.01636726353771843,-7.486685066681038e-06
0.05,0.405741737007352,2.1683137738496607,0.46420000000000006,0.3358,0.41430461534818164,0.38145700947663286,-0.6000000000000001,-0.15349348538106883,-0.44650651461893126,-4.166493457618147,-15.856141475235292,52,20,0.020347249724905023,-1.6336254494468648e-05
0.06,0.5698500654498947,2.5206343429806344,0.48560000000000003,0.3144,0.41958755552023874,0.37585213236007775,-0.8,-0.2043711362624348,-0.5956288637375653,-5.4186332571087075,-21.076681754833366,55,15,0.024325096668101502,-3.14646863573609e-05
0.07,0.7570374670836515,2.8370921919014114,0.48560000000000003,0.3144,0.42689270409565155,0.3683965503496966,-0.8,-0.27334651283156547,-0.5266534871684345,-5.001756916696122,-20.58904889217727,55,15,0.028301778209385238,-5.507385800167984e-05
0.08,0.9647152653730087,3.1168158625932265,0.507,0.29300000000000004,0.4335716774894191,0.3616899275521273,-1.0,-0.3358960277443542,-0.6641039722556459,-6.1511320753318985,-25.70362254366937,55,10,0.03227797414651193,-8.976975101286212e-05
0.09,1.1902453456175408,3.3546753290125415,0.507,0.29300000000000004,0.442048607169095,0.35327133056070936,-1.0,-0.4148470869550732,-0.5851529130449268,-5.646690621899651,-25.124977986246318,55,11,0.036254131750255054,-0.000138216569289343
0.1,1.4306571435154336,3.550734632962338,0.5177,0.2823,0.44955395784695024,0.34588233705463983,-1.1,-0.48444682613229173,-0.6155531738677084,-5.862281416676895,-27.3615979049332,55,9,0.04023050628197482,-0.0002034159317897345
0.11,1.6831410846635548,3.7057222847285463,0.5177,0.2823,0.45737287753686795,0.3382164160325838,-1.1,-0.5568058948798327,-0.5431941051201674,-5.302805488205096,-26.78375206015662,55,9,0.04420719729679883,-0.0002882094140490889
0.12,1.9449310878204353,3.822599131598715,0.5177,0.2823,0.46411650413379657,0.3316460572967552,-1.1,-0.6190207796123429,-0.48097922038765717,-4.719313370393968,-26.249441147170014,55,10,0.04818417093991093,-0.0003953934973883626
0.13,2.2136040422907923,3.9067883721102747,0.5177,0.2823,0.4699119784469243,0.32603170393773534,-1.1,-0.6723377313513502,-0.42766226864864987,-4.2212794018869815,-25.77586371200274,55,10,0.0521612870872606,-0.0005274173588980483
0.14,2.4870814758064106,3.963005988994888,0.5177,0.2823,0.4748830051412578,0.3212404815400085,-1.1,-0.7179557177628472,-0.3820442822371529,-3.79702876081566,-25.364085625761994,55,11,0.05613832080999373,-0.0006863795757591148
0.15,2.7635829645193906,3.9953136433913983,0.5177,0.2823,0.47914202717090393,0.3171535369716877,-1.1,-0.7569555616785807,-0.3430444383214194,-3.435313909301924,-25.00927776667255,55,11,0.06011498076683079,-0.0008740738029192647
0.16,3.0415844059253914,4.007193385812797,0.5177,0.2823,0.4827883887117171,0.31366752539872117,-1.1,-0.7902844080046538,-0.30971559199534626,-3.1259706531526112,-24.70489712005936,55,11,0.06409092573150593,-0.0010920301602838853
0.17,3.3197816606060147,4.001623948631383,0.5177,0.2823,0.4859088068386115,0.3106938651275468,-1.1,-0.8187614098647883,-0.2812385901352118,-2.8600971511006623,-24.444335844879358,55,12,0.06806577950147993,-0.0013415517650797776
0.18,3.5970592593557575,3.981151199946798,0.5177,0.2823,0.4885786266843547,0.30815724458984683,-1.1,-0.8430905705350835,-0.25690942946491657,-2.630045693095891,-24.221520132289523,55,12,0.07203914429562068,-0.0016237466494876838
0.19,3.87246361141976,3.9479505697366966,0.5177,0.2823,0.4908632406099678,0.30599397411388674,-1.1,-0.8638750770844912,-0.2361249229155089,-2.429346054749641,-24.03108065084853,55,12,0.07601061265610495,-0.0019395555563321673
0.2,4.145180107019026,3.9038813219418285,0.5177,0.2823,0.49281943167084047,0.3041504058528119,-1.1,-0.8816309617664887,-0.2183690382335114,-2.252607742192118,-23.86835445719268,55,12,0.07997977781322724,-0.00228977613892827
0.21,4.414513546462786,3.85053329649518,0.5177,0.2823,0.49449655987477725,0.30258149486598385,-1.1,-0.8967993691999694,-0.2032006308000307,-2.095418834523457,-23.729326101058646,55,12,0.08394624244361538,-0.0026750840434304813
0.22,4.679871393201424,3.7892669615565304,0.5177,0.2823,0.49593757470499267,0.3012495152545156,-1.1,-0.909757287151762,-0.19024271284823813,-1.9542471340769825,-23.610551818031162,55,12,0.08790962574670341,-0.003096051280246477
0.23,4.940749417053746,3.7212476232856826,0.5177,0.2823,0.49717986318260565,0.3001229238418912,-1.1,-0.9208268193491328,-0.1791731806508673,-1.826344721695443,-23.509084030874224,55,12,0.09186956877641665,-0.0035531622183192523
0.24,5.196719358316749,3.647474572784102,0.5177,0.2823,0.4982559521373324,0.2991753577119456,-1.1,-0.9302831515204991,-0.16971684847950097,-1.7096554757124487,-23.422402330071705,55,13,0.09582573799079828,-0.004046827471226117
0.25,5.447418300929944,3.5688058618729945,0.5177,0.2823,0.4991940859194988,0.2983847516064991,-1.1,-0.9383613752943912,-0.16163862470560886,-1.6027248313739249,-23.34835260747071,55,13,0.0997778270181155,-0.00457739589006864
0.26,5.69253949292374,3.485979312326655,0.5177,0.2823,0.5000187005393064,0.29773256287509625,-1.1,-0.9452623255336923,-0.15473767446630782,-1.5046112631731536,-23.28509425765289,55,13,0.10372555668050255,-0.005145164835547392
0.27,5.931824395445113,3.3996302844219164,0.5177,0.2823,0.5007508138371024,0.29720309379248067,-1.1,-0.9511575703019708,-0.1488424296980293,-1.414799339067529,-23.23105473581538,55,13,0.1076686733623416,-0.005750388869897918
0.28,6.165055778383189,3.3103066619847814,0.5177,0.2823,0.5014083494641559,0.29678290300911087,-1.1,-0.9561936750235752,-0.14380632497642487,-1.3331145823522612,-23.184890595732806,55,13,0.11160694585747365,-0.0063932869875159845
0.29,6.39205171170592,3.218481452131489,0.5177,0.2823,0.5020064104697196,0.2964602994685359,-1.1,-0.960495845799924,-0.1395041542000761,-1.2596407228410562,-23.145454145848852,55,13,0.11554016087433377,-0.007074048489902913
0.3,6.612660327721474,3.124563347480756,0.5177,0.2823,0.5025575162613317,0.2962249132694629,-1.1,-0.9641710420180788,-0.1358289579819213,-1.1946401969457152,-23.11176493945897,55,13,0.11946811741883441,-0.007792837604676714
0.31,6.826755251193901,3.0289055554509043,0.5177,0.2823,0.50307181467961,0.2960673386933436,-1.1,-0.967310635449843,-0.13268936455015712,-1.1384789547461378,-23.082985409114002,55,13,0.1233906203092088,-0.008549796948412921
0.32,7.03423161211881,2.9318131620987504,0.5177,0.2823,0.5035572789310038,0.29597884501026156,-1.1,-0.9699926818726271,-0.13000731812737298,-1.0915567474067291,-23.05840004744847,55,13,0.12730747310335802,-0.0093450499375576
0.33,7.235002570503531,2.8335492656920898,0.5177,0.2823,0.5040198971708949,0.2959511507766306,-1.1,-0.9722838616554407,-0.12771613834455942,-1.0542441010356134,-23.037397620191783,55,13,0.13121847073619347,-0.010178702259149422
0.34,7.428996294162012,2.7343400868798278,0.5177,0.2823,0.5044638606444141,0.2959762572103335,-1.1,-0.9742411375424325,-0.12575886245756762,-1.0268271371619355,-23.019455970561665,55,13,0.13512339217114316,-0.011050842522186853
