time_s,path_error_mm,heading_error_deg,v_left_target,v_right_target,v_left_actual,v_right_actual,omega_cmd,gyro_z,yaw_error,wheel_pi_turn,turn_pwm,left_pwm,right_pwm,x_m,y_m
0.0,0.0003194043160569212,0.045751303032798445,0.4214,0.37860000000000005,0.400159336375,0.39984066362500004,-0.2,-0.001489124999999999,-0.198510875,-1.717349999999998,-6.029337499999999,42,30,0.00039999999999955647,-5.956499999997795e-10
0.01,0.02095313905194317,0.4987493069306408,0.4214,0.37860000000000005,0.401601040960277,0.3982490715307377,-0.2,-0.015663408549248924,-0.1843365914507511,-1.6026669960163176,-6.254484362819175,42,29,0.004399925051100275,-1.659968893986024e-07
0.02,0.07281879680010359,0.9430082316993732,0.4428,0.3572,0.4027051030007053,0.39571871542442216,-0.4,-0.03264667091721069,-0.36735332908278934,-3.1737136284925898,-12.373206476408523,48,23,0.008395191247722764,-1.014866895550703e-06
0.03,0.1548595228030314,1.3676649280259587,0.4428,0.3572,0.4066743173714519,0.3905137857272001,-0.4,-0.07551650301052243,-0.3244834969894776,-3.0145306723363117,-12.547847511470433,48,23,0.01238380476149116,-3.4384795488515588e-06
0.04,0.2653776558710457,1.7680914001908044,0.46420000000000006,0.3358,0.4107858576478827,0.385532985294404,-0.6000000000000001,-0.11800407641812505,-0.48199592358187504,-4.3566097406252915,-18.509255616156523,54,17,0.016367261991308522,-9.02152150892833e-06
0.05,0.40242791861655663,2.135742178624009,0.46420000000000006,0.3358,0.4174618832219194,0.3782997416028951,-0.6000000000000001,-0.18300066177114183,-0.41699933822885826,-3.9955981416328856,-18.47580080424487,54,17,0.02034724369885935,-1.965164768408261e-05
0.06,0.5635405083473641,2.467878881992379,0.48560000000000003,0.3144,0.4238640850061482,0.3715756028741683,-0.8,-0.24433870155130788,-0.5556612984486922,-5.16416591712829,-24.210777190251623,55,12,0.024325077873337844,-3.777832967068364e-05
0.07,0.7460921526951682,2.757677537096662,0.48560000000000003,0.3144,0.4324363739403854,0.3628528805049627,-0.8,-0.32515651138048,-0.47484348861952,-4.656679515370493,-23.951778662793288,55,12,0.028301728737050877,-6.602821615542303e-05
0.08,0.9470297292369897,3.0039646238872977,0.507,0.29300000000000004,0.4403881188118025,0.3548734862297439,-1.0,-0.39960108683204976,-0.6003989131679502,-5.703297527839133,-29.473338014931766,55,6,0.03227785939925639,-0.0001074729778558762
0.09,1.1632366190306822,3.2013088922045005,0.507,0.29300000000000004,0.4502127469531938,0.34510719077661056,-1.0,-0.49114745876908034,-0.5088525412309197,-5.095330245864328,-29.019198749942937,55,7,0.03625389129237489,-0.0001652566029132858
0.1,1.39124934409047,3.3498420364415384,0.5177,0.2823,0.45899576135957165,0.3364405335420184,-1.1,-0.5726879804558562,-0.5273120195441439,-5.201064128758315,-31.352041505957942,55,5,0.040230041433677796,-0.00024287460952255034
0.11,1.6277865634650066,3.450697495937518,0.5177,0.2823,0.4680038897614924,0.32758540380795936,-1.1,-0.6561611493155747,-0.4438388506844254,-4.537014651126551,-30.659967590590195,55,5,0.04420635797797889,-0.0003436406633786849
0.12,1.8696495712348273,3.5076197861598497,0.5177,0.2823,0.47574720173230023,0.32001535969825157,-1.1,-0.7277188880095731,-0.372281111990427,-3.855728083299025,-29.856155122429378,55,6,0.04818274136204538,-0.0004707830562355504
0.13,2.1140537104933337,3.5272374242820916,0.5177,0.2823,0.4822924871910413,0.31365119519361834,-1.1,-0.7880434205487055,-0.3119565794512946,-3.2748116104820744,-29.029431138548606,55,7,0.05215897375438629,-0.0006271102319285405
0.14,2.3586507387598044,3.5156622377594977,0.5177,0.2823,0.48774648247936414,0.30837700420190217,-1.1,-0.8381751321376725,-0.2618248678623276,-2.7874809505756564,-28.231934692753118,55,8,0.05613474351229883,-0.0008149865391932405
0.15,2.601488077979406,3.4783559108973203,0.5177,0.2823,0.4922328629397969,0.3040627012027947,-1.1,-0.8792998212009446,-0.22070017879905546,-2.3839127422082473,-27.493208608839392,55,8,0.06010966697155938,-0.001036371943999656
0.16,2.8409628002136693,3.420088886925459,0.5177,0.2823,0.49587882019547225,0.300577093914966,-1.1,-0.9126248891612438,-0.18737511083875624,-2.0531081026537805,-26.828256876697008,55,9,0.06408330842402013,-0.0012928677118113556
0.17,3.0757750007546596,3.344953193982837,0.5177,0.2823,0.4988071658484538,0.2977955061177045,-1.1,-0.9393068211717257,-0.16069317882827439,-1.7839943355419177,-26.24257094414461,55,10,0.06805519816397597,-0.0015857633242862598
0.18,3.3048832542039768,3.2564063176612104,0.5177,0.2823,0.5011318380293146,0.29560403324488693,-1.1,-0.9604103027309707,-0.13958969726902937,-1.5660840856977125,-25.735480763912545,55,10,0.07202484848572459,-0.001916081838839227
0.19,3.5274636562927366,3.1573316956288635,0.5177,0.2823,0.5029555941101733,0.29390162061368125,-1.1,-0.9768877266191217,-0.12311227338087838,-1.3898579577058183,-25.302480537678804,55,11,0.07599176754777315,-0.0022846220842020907
