time_s,path_error_mm,heading_error_deg,v_left_target,v_right_target,v_left_actual,v_right_actual,omega_cmd,gyro_z,yaw_error,wheel_pi_turn,turn_pwm,left_pwm,right_pwm,x_m,y_m
0.0,0.00031913315561698076,0.04571246214847734,0.4214,0.37860000000000005,0.4002318718157895,0.39976812818421054,-0.2,-0.0021670263157894725,-0.19783297368421054,-1.717349999999998,-7.317349999999998,43,29,0.00039999999999906083,-8.668105263151106e-10
0.01,0.02087768854865861,0.4962870765461895,0.4214,0.37860000000000005,0.40233318164197157,0.3975169308490431,-0.2,-0.022505844826768533,-0.17749415517323147,-1.5968460268929623,-7.0976201075824665,43,29,0.004399925045365325,-2.4144921250808677e-07
0.02,0.0723892879041207,0.9354639702820438,0.4428,0.3572,0.40386598982678257,0.3945578285983449,-0.4,-0.04349608050671819,-0.35650391949328186,-3.114941204926402,-14.09205808432107,50,22,0.008395191142471359,-1.4444110738553433e-06
0.03,0.15359947152851397,1.3515104706341798,0.4428,0.3572,0.4086047514058568,0.3885833516927952,-0.4,-0.09355794258439998,-0.30644205741560004,-2.921168335512988,-13.604724790795371,49,22,0.01238380403102812,-4.698749269677479e-06
0.04,0.2625683986326479,1.7404633263284062,0.46420000000000006,0.3358,0.41312363631989996,0.38319520662238676,-0.6000000000000001,-0.13985247522202424,-0.4601475247779758,-4.201201018627158,-20.159491145140013,55,16,0.016367258714286032,-1.1831598856151682e-05
0.05,0.3971683170203248,2.0936710455362895,0.46420000000000006,0.3358,0.420404382812469,0.3753572420123455,-0.6000000000000001,-0.2105006579445025,-0.3894993420554976,-3.8070174039577616,-19.290262848829137,55,17,0.020347232975039386,-2.4913507797342725e-05
0.06,0.5547492767327309,2.409611117079938,0.48560000000000003,0.3144,0.42697710367559916,0.36846258420471734,-0.8,-0.273432333976083,-0.526567666023917,-4.926471881072938,-25.530346003145542,55,10,0.024325049256490774,-4.657463625793776e-05
0.07,0.7325922583251002,2.681580764420193,0.48560000000000003,0.3144,0.43589696351867874,0.3593922909266694,-0.8,-0.35749847005611823,-0.4425015299438818,-4.40456569833567,-24.40601045528896,55,11,0.028301663524950928,-7.953791027975558e-05
0.08,0.9275573726397484,2.9096313745594795,0.507,0.29300000000000004,0.4437741303072218,0.3514874747343246,-1.0,-0.4312460540789588,-0.5687539459210412,-5.4225128907023485,-30.440639227042013,55,5,0.03227772696250685,-0.00012696219262353363
0.09,1.1365207579979277,3.088332130304513,0.507,0.29300000000000004,0.45373135657499986,0.3415885811548045,-1.0,-0.5240316608420342,-0.47596833915796577,-4.819665352483611,-29.151062884341545,55,7,0.03625364632502868,-0.00019199883770635402
0.1,1.35600965887255,3.2188718672653223,0.5177,0.2823,0.46222681839242474,0.3332094765091653,-1.1,-0.6028847751554176,-0.4971152248445825,-4.913911732861205,-31.393822446842375,55,5,0.040229620109402016,-0.0002781523748507673
